제조사,모델명,모델번호,통신사,요금제,월요금제,기기변경지원금,번호이동지원금,공시일,섹션
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,컴팩트,39000,281000,281000,2025-06-12,A01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,5G 슬림 4GB,37000,280000,280000,2025-06-12,A01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 미니,37000,66000,66000,2025-06-12,A01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,컴팩트플러스,45000,332000,332000,2025-06-12,B01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,5G 슬림 7GB,45000,340000,340000,2025-06-12,B01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 슬림+,47000,84000,84000,2025-06-12,B01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,베이직플러스,59000,400000,400000,2025-06-12,C01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,5G 슬림 21GB,58000,424000,424000,2025-06-12,C01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 베이직+,59000,105000,105000,2025-06-12,C01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,베이직플러스 50GB업,66000,400000,400000,2025-06-12,D01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,5G 심플 70GB,65000,435000,435000,2025-06-12,D01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 데이터 플러스,66000,117000,117000,2025-06-12,D01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,5GX 레귤러 플러스,79000,400000,400000,2025-06-12,E01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,5G 심플 110GB,69000,435000,435000,2025-06-12,E01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 스탠다드,75000,133000,133000,2025-06-12,E01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,5GX 프리미엄,109000,400000,400000,2025-06-12,F01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,초이스 스페셜,110000,435000,435000,2025-06-12,F01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 프리미어 플러스,105000,186000,186000,2025-06-12,F01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,SK,5GX 플래티넘,125000,400000,400000,2025-06-12,G01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,KT,초이스 프리미엄,130000,435000,435000,2025-06-12,G01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,LG,5G 시그니처,130000,230000,230000,2025-06-12,G01
